token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
銀,0,13,0.0,2.6041666666666665,-2.6041666666666665
烏,0,13,0.0,2.6041666666666665,-2.6041666666666665
史,0,13,0.0,2.6041666666666665,-2.6041666666666665
玉,1,16,0.5387931034482758,3.205128205128205,-2.666335101679929
冠,0,14,0.0,2.8044871794871793,-2.8044871794871793
分,5,28,2.6939655172413794,5.608974358974359,-2.915008841732979
蘭,1,18,0.5387931034482758,3.605769230769231,-3.066976127320955
行,1,18,0.5387931034482758,3.605769230769231,-3.066976127320955
鐵,0,17,0.0,3.405448717948718,-3.405448717948718
畫,5,31,2.6939655172413794,6.209935897435897,-3.5159703801945175
地,3,26,1.6163793103448276,5.208333333333333,-3.5919540229885056
霜,4,35,2.155172413793103,7.011217948717949,-4.856045534924846
金,1,27,0.5387931034482758,5.408653846153846,-4.86986074270557
驄,0,25,0.0,5.008012820512821,-5.008012820512821
臺,0,50,0.0,10.016025641025642,-10.016025641025642
