token,count_a,count_b,log_odds,z
漆,6,9,0.5111767013163604,1.008598766181722
來,24,49,0.2279849944628385,0.9573960586476191
幾,12,22,0.3263537079448602,0.9490526190355153
散,11,20,0.3339454803887767,0.9282573655277558
聲,15,29,0.27768841396100274,0.9122944553401348
華,15,29,0.27768841396100274,0.9122944553401348
談,9,16,0.3545377992537988,0.8874291464332472
六,9,16,0.3545377992537988,0.8874291464332472
居,9,16,0.3545377992537988,0.8874291464332472
裏,9,16,0.3545377992537988,0.8874291464332472
天,37,81,0.16447282922644035,0.8688884223561864
十,17,34,0.24667253616961826,0.8683918551643525
元,8,14,0.36899137103074686,0.868034385457315
簪,8,14,0.36899137103074686,0.868034385457315
東,8,14,0.36899137103074686,0.868034385457315
交,20,41,0.22414706464716616,0.8599316665007448
代,7,12,0.3879380055353687,0.8501102012504462
客,7,12,0.3879380055353687,0.8501102012504462
負,7,12,0.3879380055353687,0.8501102012504462
雲,31,67,0.17606689299743206,0.8493608725897508
新,25,53,0.19356115407895746,0.8355183102226286
窮,6,10,0.4138581881515071,0.8348186583528792
信,6,10,0.4138581881515071,0.8348186583528792
貴,6,10,0.4138581881515071,0.8348186583528792
座,6,10,0.4138581881515071,0.8348186583528792
危,5,8,0.4514778563088315,0.8243589415271423
室,5,8,0.4514778563088315,0.8243589415271423
愁,4,6,0.5110714373139569,0.8233478613819829
儘,4,6,0.5110714373139569,0.8233478613819829
幽,4,6,0.5110714373139569,0.8233478613819829
味,4,6,0.5110714373139569,0.8233478613819829
蓮,4,6,0.5110714373139569,0.8233478613819829
洞,4,6,0.5110714373139569,0.8233478613819829
敬,4,6,0.5110714373139569,0.8233478613819829
映,4,6,0.5110714373139569,0.8233478613819829
度,4,6,0.5110714373139569,0.8233478613819829
好,15,30,0.24661396346617348,0.8155184189616671
眼,11,21,0.2891329038383379,0.8114460571728909
會,32,70,0.16507537547041995,0.8108940134950229
紅,9,17,0.2988269953345908,0.7570147448554567
修,9,17,0.2988269953345908,0.7570147448554567
夜,8,15,0.3055661261175606,0.728761152651216
外,7,13,0.3143164569976582,0.6998966594193914
家,11,22,0.2464969018905503,0.6980367527050355
氣,14,29,0.21447657681076393,0.6897879915337984
春,27,60,0.15060270501337136,0.6815325462688981
存,6,11,0.32613139747529196,0.6706244053229758
紛,6,11,0.32613139747529196,0.6706244053229758
語,6,11,0.32613139747529196,0.6706244053229758
蓬,6,11,0.32613139747529196,0.6706244053229758
學,6,11,0.32613139747529196,0.6706244053229758
七,6,11,0.32613139747529196,0.6706244053229758
君,16,34,0.19119677405416002,0.6605415441498477
能,13,27,0.2120294090770054,0.6574413680245267
曲,5,9,0.34295632115139973,0.6414337595245934
燭,5,9,0.34295632115139973,0.6414337595245934
張,5,9,0.34295632115139973,0.6414337595245934
期,18,39,0.17351702490868526,0.6381355794761097
百,15,32,0.18760009342401585,0.6279956102126761
竝,4,7,0.36882764779003185,0.6135206573624873
葉,4,7,0.36882764779003185,0.6135206573624873
美,4,7,0.36882764779003185,0.6135206573624873
墨,4,7,0.36882764779003185,0.6135206573624873
籍,4,7,0.36882764779003185,0.6135206573624873
苦,4,7,0.36882764779003185,0.6135206573624873
繼,4,7,0.36882764779003185,0.6135206573624873
翻,4,7,0.36882764779003185,0.6135206573624873
倫,4,7,0.36882764779003185,0.6135206573624873
吹,4,7,0.36882764779003185,0.6135206573624873
處,14,30,0.18351175123799557,0.5939742034320442
最,11,23,0.20584650647495728,0.587867190883179
